Fecha	ValorCuota
4-Jul-17	57.5719
5-Jul-17	57.6569
6-Jul-17	57.6009
7-Jul-17	57.6128
8-Jul-17	57.6107
9-Jul-17	57.6087
10-Jul-17	57.6928
11-Jul-17	57.8879
12-Jul-17	58.1494
13-Jul-17	58.2072
14-Jul-17	58.3751
15-Jul-17	58.3729
16-Jul-17	58.3708
17-Jul-17	58.4224
18-Jul-17	58.4916
19-Jul-17	58.5138
20-Jul-17	58.5323
21-Jul-17	58.6114
22-Jul-17	58.6092
23-Jul-17	58.6069
24-Jul-17	58.6095
25-Jul-17	58.7696
26-Jul-17	58.8477
27-Jul-17	58.9606
28-Jul-17	59.0533
29-Jul-17	59.0509
30-Jul-17	59.0486
31-Jul-17	58.9078
1-Ago-17	59.1592
2-Ago-17	59.1398
3-Ago-17	59.1015
4-Ago-17	59.0182
5-Ago-17	59.016
6-Ago-17	59.0138
7-Ago-17	58.9152
8-Ago-17	59.1351
9-Ago-17	59.2515
10-Ago-17	58.7924
11-Ago-17	58.9053
12-Ago-17	58.9031
13-Ago-17	58.9009
14-Ago-17	58.9346
15-Ago-17	58.893
16-Ago-17	59.4652
17-Ago-17	59.3173
18-Ago-17	59.6352
19-Ago-17	59.6329
20-Ago-17	59.6307
21-Ago-17	59.87
22-Ago-17	59.9602
23-Ago-17	59.8203
24-Ago-17	60.0946
25-Ago-17	60.0576
26-Ago-17	60.0552
27-Ago-17	60.053
28-Ago-17	60.3519
29-Ago-17	60.2981
30-Ago-17	60.1992
31-Ago-17	60.4535
1-Set-17	60.8358
2-Set-17	60.8334
3-Set-17	60.8311
4-Set-17	60.9928
5-Set-17	61.1043
6-Set-17	61.45
7-Set-17	61.4898
8-Set-17	61.3053
9-Set-17	61.3029
10-Set-17	61.3005
11-Set-17	61.3425
12-Set-17	61.3243
13-Set-17	61.1726
14-Set-17	61.1979
15-Set-17	61.1625
16-Set-17	61.1603
17-Set-17	61.1582
18-Set-17	61.2698
19-Set-17	61.584
20-Set-17	61.5536
21-Set-17	61.5731
22-Set-17	61.6031
23-Set-17	61.601
24-Set-17	61.5989
25-Set-17	61.7139
26-Set-17	61.6082
27-Set-17	61.76
28-Set-17	62.2201
29-Set-17	62.3669
30-Set-17	62.3646
1-Oct-17	62.3622
2-Oct-17	62.8011
3-Oct-17	63.5802
4-Oct-17	63.8303
5-Oct-17	64.5996
6-Oct-17	64.2628
7-Oct-17	64.2605
8-Oct-17	64.2584
9-Oct-17	64.1515
10-Oct-17	64.0718
11-Oct-17	64.1199
12-Oct-17	64.3643
13-Oct-17	64.4924
14-Oct-17	64.4901
15-Oct-17	64.4879
16-Oct-17	64.7848
17-Oct-17	64.5777
18-Oct-17	64.5902
19-Oct-17	64.7045
20-Oct-17	64.9454
21-Oct-17	64.9432
22-Oct-17	64.9409
23-Oct-17	65.1383
24-Oct-17	65.2725
