Practica1,Practica2,Practica3,Practica4,Parcial,Final,Nota
15.5,14.0,16.5,3.5,12.5,5.0,0
10.5,10.0,10.0,2.5,12.0,5.0,0
15.0,12.0,11.5,6.0,11.5,11.0,1
19.5,12.5,11.0,7.0,6.5,14.5,1
14.0,8.0,11.0,7.0,5.5,5.0,0
19.5,16.0,17.5,3.0,15.5,11.0,1
19.5,13.0,19.5,11.5,10.0,15.5,1
12.0,4.5,1.5,8.0,8.0,4.5,0
0.0,14.0,10.0,0.5,10.0,10.5,0
13.5,10.5,6.5,0.5,9.0,12.5,0
19.5,19.5,20.0,15.5,19.5,19.0,1
12.5,9.0,7.0,7.0,14.5,8.0,0
19.5,12.0,19.5,6.0,11.5,14.5,1
18.0,8.5,10.5,13.5,7.5,10.0,0
20.0,15.0,20.0,17.0,14.5,9.5,1
16.5,13.0,12.0,14.5,14.0,13.5,1
15.0,9.5,12.5,13.0,12.5,7.5,1
14.0,8.0,9.0,8.0,10.5,10.0,0
15.0,7.0,12.0,3.0,12.5,12.0,1
17.5,12.5,16.0,15.5,9.0,7.5,1
12.5,8.0,12.0,12.0,13.0,11.5,1
20.0,13.5,17.5,14.5,12.5,9.5,1
17.5,12.0,9.5,6.0,13.0,8.5,1
20.0,13.5,11.5,7.5,12.0,5.5,0
20.0,13.0,17.5,1.0,18.0,9.5,1
16.5,15.5,11.0,14.0,11.0,15.5,1
16.5,13.0,11.0,8.5,10.5,10.0,1
11.0,8.5,14.5,3.5,7.5,14.5,1
11.0,11.5,8.5,11.0,6.0,9.0,0
19.5,14.0,8.0,12.0,10.5,9.5,1
15.5,11.0,13.0,3.5,13.0,5.5,0
13.5,7.5,11.5,13.0,5.5,11.5,0
19.5,17.5,11.0,5.0,19.0,5.0,1
9.5,12.0,0.0,0.5,9.0,1.5,0
14.5,2.0,17.0,7.0,7.5,12.0,0
18.0,8.0,15.5,11.5,10.0,16.0,1
19.5,9.0,11.5,10.5,7.0,8.0,0
10.5,14.5,12.0,0.5,12.5,13.0,1
11.5,9.0,4.0,7.5,8.5,14.0,0
20.0,14.5,17.5,0.5,11.0,8.5,1
20.0,13.5,13.0,9.0,5.5,10.0,0
8.5,18.5,7,10.5,12,9.5,1
13.5,19.5,11,15.5,7.5,14,1
13,19,13,11.5,8,11.5,1
12.5,5.5,11.5,9,5.5,12.5,0
17,20,9,13,10,11,1
11.5,4.5,11.5,1,2,5,0
9,12.5,0,7.5,6,3.5,0
13,11,13.5,15,10,13,1
14.5,19.5,18.5,17.5,9,16.5,1
13,0,16.5,13.5,11.5,14.5,1
13.5,19,15,18,13.5,13.5,1
17.5,18.5,17,14,17,14,1
16.5,14,17,12.5,10,15.5,1
17,11,5.5,8,9,3.5,0
14,19,16.5,11.5,13.5,16.5,1
18,19,15.5,19.5,15,17,1
11.5,6.5,11.5,14.5,7.5,9.5,0
18.5,17,17,18.5,13,19,1
9.5,19,16.5,15.5,6.5,11.5,1
11.5,17.5,11.5,11,5.5,10,0
11,17.5,11.5,10,4,11.5,0
16,16,15,10,11.5,17,1
11,8.5,9.5,10,2,9,0
13.5,15,18,11,8,9,1
13,13.5,9,2,11,15,1
18,20,15,18,10,15.5,1
13.5,16,11,16.5,10,10,1
16,18,13,19,9.5,16.5,1
15,17.5,7.5,18,8.5,12.5,1
20,20,20,16.5,14.5,17,1
12,12.5,17,14.5,9.5,15,1
12,15,2,0,7,1,0
12.5,17,18.5,0.5,9,14,1
15,13,17.5,18,11.5,17,1
12,15,8.5,16.5,7.5,16,1
13,17,14.5,11.5,11.5,16,1
12.5,3.5,13.5,9,12,11.5,1
13,8,3,3,10,12.5,0
14,15,12.5,15,9,9.5,1
16,19.5,18.5,17,13.5,10.5,1
14,11.5,18,13.5,12,13.5,1
12,14,13,16,7,15,1
17,20,8,17.5,12,17.5,1
11,14,19.5,15,8.5,13.5,1
17,15.5,17.5,8.5,14,16.5,1
16.5,15.5,17,12.5,12.5,15,1
9,11,3,10.5,7.5,8.5,0
12,14.5,12.5,15,8,13.5,1
13.5,15.5,12.5,1,8.5,14.5,1
13.5,9.5,9,1,6.5,3.5,0
12,16.5,20,14,7.5,13,1
15,16,3,6.5,11,12.5,1
16,19,13,13.5,8,12.5,1
9,4.5,5,13.5,9.5,10,0
14,13,12,16.5,6.5,10,1
